ID,Confidence,R.A.,Decl.,D,Teff,logg,[Fe/H],Source
31463,0.837402,159.7899349,21.75064358,60467.48088,,,,
31464,0.696777,164.3802069,22.35657599,7676.63481,9550.1,4.335074,-0.171689,
31465,0.919922,117.4165003,9.361460668,,,,,
31466,0.678223,117.7935172,9.468144459,58562.01675,,,,
31467,0.807129,117.7412473,9.486096536,44661.80082,,,,
31468,0.699219,118.3792227,9.606497242,25934.13089,,,,
31469,0.859375,120.1708978,10.32317303,12416.09971,,,,
31470,0.806152,120.7641519,10.67930567,,,,,
31471,0.927734,121.9741096,11.23442802,34117.903,,,,
31472,0.896484,127.6811186,13.29347898,11049.98581,9205.079802,3.439476177,-1.625936529,N
31473,0.768555,133.5460392,15.38923724,65771.80052,,,,
31474,0.638672,148.7754605,19.84472117,5133.139563,10411.2,3.651355,-1.332945,
31475,0.678223,149.3911192,19.99785662,,,,,
31476,0.864746,149.3776656,20.10018754,65412.66188,,,,
31477,0.916992,150.6463255,20.30550597,20281.79876,9099.012551,3.33813545,-1.590701749,N
31478,0.925781,156.7256148,21.56224084,44856.36069,,,,
31479,0.882812,162.7066951,22.67918906,47666.13751,,,,
31480,0.890137,164.9585876,22.91465523,48298.75879,,,,
31481,0.719238,119.2672183,10.44110243,12785.88277,,,,
31482,0.930664,120.4427385,11.02329458,27656.33299,,,,
31483,0.94873,121.5204133,11.47942595,21685.42859,,,,
31484,0.640625,125.4141106,12.97349267,,,,,
31485,0.960938,130.3061704,14.73146035,14835.23535,,,,
31486,0.875488,133.1393955,15.72587967,40931.47079,,,,
31487,0.811035,136.3759416,16.85639922,55009.86086,,,,
31488,0.866211,136.4357576,16.71817138,13938.37189,8295.9,3.606745,-0.491817,
31489,0.746094,139.4463875,17.8180221,60892.22989,,,,
31490,0.656738,140.1020118,17.95901474,94271.77598,,,,
31491,0.673828,140.2011297,18.07256302,,,,,
31492,0.894531,146.6634142,19.68934581,12081.528,,,,
31493,0.970215,154.4953695,21.53325236,20395.57753,9475.439035,3.533121916,-1.746313873,N
31494,0.902832,163.863605,23.26769326,13431.42362,,,,
31495,0.93457,163.918122,23.15221589,31783.15724,,,,
31496,0.771484,117.5527984,10.3390016,14392.95105,,,,
31497,0.615723,118.1243321,10.47126874,75660.1506,,,,
31498,0.872559,118.5445568,10.63469633,21863.58832,,,,
31499,0.70166,119.7601277,11.15315189,27119.73863,8862.006618,3.46629654,-1.146104642,
31500,0.744629,123.4737301,12.54065193,,,,,
31501,0.922852,130.9715132,15.41052465,40142.4264,,,,
31502,0.959961,131.4077599,15.63465587,26279.17179,,,,
31503,0.926758,134.7325631,16.68084557,28047.75795,,,,
31504,0.858398,139.1402367,18.09121978,,,,,
31505,0.76709,139.4640977,18.2510457,10956.98704,,,,
31506,0.924316,140.688097,18.5534148,10763.40138,,,,
31507,0.827148,145.0468287,19.69198555,66737.14484,,,,
31508,0.693359,146.9717873,20.29387689,,,,,
31509,0.906738,146.8714284,20.29090682,27460.01295,,,,
31510,0.728027,147.4925707,20.32211445,13893.07473,8793.5,4.66538,-1.389659,
31511,0.898438,154.5302262,22.09079363,56795.53044,,,,
31512,0.772461,155.9809478,22.38479659,34193.24846,,,,
31513,0.883789,156.0100423,22.20221915,,,,,
31514,0.939453,155.9244861,22.20361253,21677.34991,,,,
31515,0.898438,156.5097616,22.34156187,23410.56401,,,,
31516,0.850098,160.9477891,23.09317728,43334.8767,,,,
31517,0.753418,161.8692254,23.3627132,63132.15862,,,,
31518,0.777832,165.7582887,23.88239472,79313.78111,,,,
31519,0.938477,117.9401892,10.99199172,,8769.957278,3.67230916,-2.259381317,
31520,0.696777,119.5504257,11.5285448,15487.41154,8333.2,4.29221,-0.707199,
31521,0.85498,120.5147765,12.01035906,46368.86665,,,,
31522,0.702637,123.4053668,13.04188563,68049.76731,,,,
31523,0.68457,124.8101375,13.6321466,40464.80859,,,,
31524,0.651855,127.313402,14.50961749,,,,,
31525,0.944336,129.1841467,15.14988584,25379.12261,,,,
31526,0.89209,131.6646129,16.16868183,45199.75147,,,,
31527,0.925781,133.7861839,16.92734348,21219.61029,7445.9,2.965259,-1.773819,N
31528,0.8125,134.661512,17.03012271,,8722.673148,4.023441889,-1.590778086,
31529,0.92041,135.710572,17.53026934,,,,,
31530,0.717773,138.0760914,18.30933535,58891.95879,,,,
31531,0.820801,139.4198872,18.61941313,55470.70391,,,,
31532,0.920898,139.5571155,18.5919086,36339.83748,,,,
31533,0.661621,139.8877118,18.85963523,67677.23936,,,,
31534,0.850098,139.8413185,18.8049153,7807.420779,,,,
31535,0.811035,145.4820245,20.24029006,23541.87094,8456.303649,3.422825733,-1.46818086,
31536,0.932129,147.3755277,20.77738687,27089.36052,,,,
31537,0.831055,153.5788976,22.15718948,11136.80446,8009.7,3.368176,-1.625474,N
31538,0.900879,154.1546381,22.36607453,8015.29896,9989.8,3.465458,-1.423558,N
31539,0.945801,165.5259392,24.2591835,19601.70657,8979.474295,3.406909194,-1.653173044,N
31540,0.658203,119.6991026,11.9681903,,,,,
31541,0.658691,119.640175,12.03170977,7849.61235,,,,
31542,0.885742,124.2093555,13.8341815,10435.7551,10293.9,3.926778,-0.744134,
31543,0.924805,124.5060834,13.90166548,34053.05115,,,,
31544,0.81543,127.7172837,15.17236903,,,,,
31545,0.928711,133.9818856,17.25047529,20068.29863,10314.6,4.100155,-0.366599,
31546,0.854492,140.6354784,19.44509174,47227.16885,,,,
31547,0.898926,154.3547276,22.85118332,29082.53989,,,,
31548,0.755859,157.0350301,23.36095045,6835.914792,10517.3,4.022564,-0.000437,
31549,0.803711,158.3407283,23.49302044,27591.20689,,,,
